epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,186.04,1.54137,1.89932,2.22389,0.94861,0.17096,0.18502,0.10834,0.05345,0.15525,0.15859,0.0868,0.03922,1.65635,2.39055,1.95291,1.04604,0.0010892,0.0010892,0.0010892
48,189.968,1.52086,1.70403,2.1474,0.95652,0.16006,0.31718,0.12265,0.06865,0.15996,0.27753,0.10202,0.04543,1.57531,2.36856,1.85782,1.02634,0.0010694,0.0010694,0.0010694
49,194.07,1.31974,1.56416,8.66419,0.75692,0.16438,0.40088,0.14465,0.07739,0.137,0.34361,0.10642,0.04018,1.61009,2.46352,1.83384,1.04545,0.0010496,0.0010496,0.0010496
50,198,1.72126,2.33852,2.08857,1.03328,0.14032,0.49339,0.13393,0.06586,0.107,0.40088,0.09134,0.03005,1.66302,2.48702,1.98625,1.04107,0.0010298,0.0010298,0.0010298
51,201.874,1.71482,2.18557,2.37274,1.01798,0.06326,0.57709,0.11829,0.05595,0.04947,0.4978,0.07348,0.02373,1.83538,2.72858,2.14145,1.04552,0.00101,0.00101,0.00101
52,206.073,1.56421,1.81241,2.21664,0.97452,0.09164,0.56828,0.1376,0.06898,0.08809,0.54626,0.11384,0.04525,1.61761,2.35187,1.99434,1.035,0.0009902,0.0009902,0.0009902
53,209.931,1.54056,1.92284,2.09888,0.9842,0.13733,0.51542,0.15228,0.07922,0.11972,0.44934,0.1264,0.04862,1.54109,2.31709,1.87977,1.02701,0.0009704,0.0009704,0.0009704
54,214.181,1.4342,1.76632,2.00574,0.97809,0.15815,0.43612,0.16534,0.0893,0.13758,0.35683,0.13953,0.05705,1.55643,2.19849,1.84542,1.02499,0.0009506,0.0009506,0.0009506
55,218.424,1.79022,2.12246,2.92883,1.01043,0.15971,0.38326,0.15876,0.08218,0.13517,0.29515,0.1154,0.04023,1.68704,2.22428,1.85938,1.02597,0.0009308,0.0009308,0.0009308
56,222.349,1.6087,1.77788,1.99875,0.92694,0.16665,0.4141,0.14794,0.0816,0.15282,0.3304,0.12287,0.04885,1.51844,2.18752,1.7749,1.01022,0.000911,0.000911,0.000911
57,226.214,1.59201,1.80119,2.14674,0.97529,0.16365,0.43172,0.15681,0.0846,0.14862,0.39207,0.14108,0.06326,1.51858,2.11161,1.80437,1.00278,0.0008912,0.0008912,0.0008912
